TITLE,PLAYER/CHARACTER,SERIAL NUMBER,SET,GRADE,GRADER,VARIANT,AUTOGRAPH,YEAR,LANGUAGE,PRICE,CATEGORY,OTHER META,MP4 URL,IMAGE URL,URL TO PRODUCT
2001 POKEMON NEO REVELATION 1ST EDITION HO-OH-HOLO (PSA MINT 9),HO-OH-HOLO,113822934,POKEMON NEO REVELATION 1ST EDITION,MINT 9,PSA,1ST ED-DOUBLE HOLO ERROR,No,2001,English,"$4,656.35",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/113822934.mp4,https://cdn.dripshop.live/dripnfts/slabs/113822934.jpg,https://www.dripshop.live/products/HAqXpcUAVlrN6w2N_U_Bl
2001 POKEMON NEO REVELATION 1ST EDITION SHINING MAGIKARP-HOLO (PSA NM-MT 8),SHINING MAGIKARP-HOLO,116341034,POKEMON NEO REVELATION 1ST EDITION,NM-MT 8,PSA,1ST ED-DOUBLE HOLO ERROR,No,2001,English,"$3,469.55",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/116341034.mp4,https://cdn.dripshop.live/dripnfts/slabs/116341034.jpg,https://www.dripshop.live/products/dlM8p-RYO9KFPLlaQbXMd
1999 POKEMON GERMAN BISAFLOR-HOLO (PSA GEM MT 10),BISAFLOR-HOLO,94300622,POKEMON GERMAN,GEM MT 10,PSA,1ST EDITION,No,1999,German,"$3,229.20",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/94300622.mp4,https://cdn.dripshop.live/dripnfts/slabs/94300622.jpg,https://www.dripshop.live/products/asfYGHrzpaaWz5GBWcqK_
2000 POKEMON GYM HEROES SABRINA'S GENGAR (PSA MINT 9),SABRINA'S GENGAR,117682553,POKEMON GYM HEROES,MINT 9,PSA,HOLO-1ST EDITION,No,2000,English,"$2,355.20",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/117682553.mp4,https://cdn.dripshop.live/dripnfts/slabs/117682553.jpg,https://www.dripshop.live/products/xclyA41zQzTcQMFbXowG2
2001 POKEMON NEO REVELATION 1ST EDITION HOUNDOOM-HOLO (PSA NM-MT 8),HOUNDOOM-HOLO,98079152,POKEMON NEO REVELATION 1ST EDITION,NM-MT 8,PSA,1ST ED-DOUBLE HOLO ERROR,No,2001,English,"$2,265.50",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/98079152.mp4,https://cdn.dripshop.live/dripnfts/slabs/98079152.jpg,https://www.dripshop.live/products/CUXhpwSPlXyb1H72eLpkX
2001 POKEMON NEO REVELATION 1ST EDITION HO-OH-HOLO (PSA NM-MT 8),HO-OH-HOLO,101158041,POKEMON NEO REVELATION 1ST EDITION,NM-MT 8,PSA,1ST ED-DOUBLE HOLO ERROR,No,2001,English,"$2,199.95",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/101158041.mp4,https://cdn.dripshop.live/dripnfts/slabs/101158041.jpg,https://www.dripshop.live/products/GcbXw_ESNQNlc-28eioP5
2001 POKEMON NEO REVELATION 1ST EDITION CELEBI-HOLO (PSA NM-MT 8),CELEBI-HOLO,101158044,POKEMON NEO REVELATION 1ST EDITION,NM-MT 8,PSA,1ST ED-DOUBLE HOLO ERROR,No,2001,English,"$2,163.15",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/101158044.mp4,https://cdn.dripshop.live/dripnfts/slabs/101158044.jpg,https://www.dripshop.live/products/lGj1suDs0EbpmEVP77pZm
1999 POKEMON GAME NINETALES-HOLO (PSA MINT 9),NINETALES-HOLO,52898675,POKEMON GAME,MINT 9,PSA,1ST EDITION,No,1999,English,"$2,037.80",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/52898675.mp4,https://cdn.dripshop.live/dripnfts/slabs/52898675.jpg,https://www.dripshop.live/products/_LMFs-lC4rWQBc3wkLr-h
2019 POKEMON SUN & MOON COSMIC ECLIPSE SOLGALEO & LUNALA GX (PSA GEM MT 10),SOLGALEO & LUNALA GX,100135775,POKEMON SUN & MOON COSMIC ECLIPSE,GEM MT 10,PSA,COSMIC ECLIPSE-FA,No,2019,English,"$2,022.85",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/100135775.mp4,https://cdn.dripshop.live/dripnfts/slabs/100135775.jpg,https://www.dripshop.live/products/RAAnry17yfVOl4aSnmrKd
2003 POKEMON AQUAPOLIS NIDOKING-HOLO (PSA MINT 9),NIDOKING-HOLO,115469657,POKEMON AQUAPOLIS,MINT 9,PSA,N/A,No,2003,English,"$1,668.65",Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/115469657.mp4,https://cdn.dripshop.live/dripnfts/slabs/115469657.jpg,https://www.dripshop.live/products/tve7MHdP0E_s5Z9sJIv_m
